,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
63,Port Alfred,ZA,-33.5906,26.891,70.93,88,0,5.91,clear sky
64,Flinders,AU,-34.5833,150.8552,75.79,89,61,7.0,light rain
65,Pevek,RU,69.7008,170.3133,-28.75,99,99,6.33,overcast clouds
66,Marzuq,YE,14.4,46.4667,59.79,44,9,2.75,clear sky
67,Hofn,IS,64.2539,-15.2082,27.34,76,100,21.99,overcast clouds
68,Hermanus,ZA,-34.4187,19.2345,64.9,90,0,8.19,clear sky
69,Karasjok,NO,69.4719,25.5112,21.31,96,18,3.78,few clouds
70,Dikson,RU,73.5069,80.5464,2.97,81,100,29.08,overcast clouds
71,Kaitangata,NZ,-46.2817,169.8464,63.93,49,100,9.13,overcast clouds
72,Graaff-Reinet,ZA,-32.2522,24.5308,68.54,76,0,3.24,clear sky
73,Hasaki,JP,35.7333,140.8333,45.28,51,99,12.8,overcast clouds
74,Atuona,PF,-9.8,-139.0333,77.74,76,3,10.76,clear sky
75,Norman Wells,CA,65.282,-126.8329,-16.56,69,20,2.3,few clouds
76,Mantua,IT,45.1667,10.7833,49.24,90,95,5.01,overcast clouds
77,Muravlenko,RU,63.7898,74.523,-10.01,89,6,11.12,clear sky
78,Hithadhoo,MV,-0.6,73.0833,81.14,69,100,8.97,overcast clouds
79,Westport,US,41.1415,-73.3579,48.74,70,0,5.99,clear sky
80,Hobart,AU,-42.8794,147.3294,68.22,48,20,10.36,few clouds
81,Inirida,CO,3.8653,-67.9239,76.73,78,89,0.63,overcast clouds
82,Rio Grande,BR,-32.035,-52.0986,74.95,84,19,19.53,few clouds
83,Oktyabrskiy,RU,54.4815,53.471,22.57,96,100,5.17,overcast clouds
84,Nikolskoye,RU,59.7035,30.7861,26.49,91,24,8.84,few clouds
85,Ilulissat,GL,69.2167,-51.1,26.62,74,20,14.97,few clouds
86,Kavieng,PG,-2.5744,150.7967,83.89,68,27,3.56,scattered clouds
87,Qaanaaq,GL,77.484,-69.3632,-22.88,54,0,7.99,clear sky
88,Ixtapa,MX,20.7,-105.2,74.43,60,0,8.05,clear sky
89,Pochutla,MX,15.7432,-96.4661,79.65,72,81,4.0,broken clouds
90,Qaqortoq,GL,60.7167,-46.0333,25.3,84,100,8.79,overcast clouds
91,Turkistan,KZ,43.0,68.0,33.04,66,91,8.95,overcast clouds
92,Castro,BR,-24.7911,-50.0119,62.13,90,19,7.07,few clouds
93,Amarkantak,IN,22.6667,81.75,43.07,42,20,2.42,few clouds
94,Faya,SA,18.3851,42.4509,51.91,86,9,3.69,clear sky
95,Hervey Bay,AU,-25.2986,152.8535,84.04,58,35,19.3,scattered clouds
96,Port Hardy,CA,50.6996,-127.4199,46.76,87,40,2.3,scattered clouds
97,Steinbach,DE,50.1667,8.5667,33.48,93,0,2.3,clear sky
98,New Norfolk,AU,-42.7826,147.0587,67.87,38,9,1.99,clear sky
99,Naco,MX,31.3347,-109.9483,63.81,19,0,9.06,clear sky
100,Hualmay,PE,-11.0964,-77.6139,71.1,81,90,8.9,overcast clouds
101,Middlebury,US,44.0153,-73.1673,46.9,43,100,11.5,overcast clouds
102,Kerema,PG,-7.9631,145.7785,83.34,61,98,4.92,overcast clouds
103,Taloda,IN,21.5667,74.2167,62.83,32,4,6.93,clear sky
104,Kapaa,US,22.0752,-159.319,82.47,67,0,3.44,clear sky
105,Calumboyan,PH,10.7917,124.0267,82.06,82,83,7.45,light rain
106,Saskylakh,RU,71.9167,114.0833,5.7,90,99,13.94,overcast clouds
107,Ponta Do Sol,PT,32.6667,-17.1,64.71,73,12,6.89,few clouds
108,Klaksvik,FO,62.2266,-6.589,40.12,97,100,31.14,overcast clouds
109,Tankhoy,RU,51.5528,105.1306,-6.65,97,96,3.6,overcast clouds
110,Kununurra,AU,-15.7667,128.7333,80.58,89,5,9.22,clear sky
111,Bilibino,RU,68.0546,166.4372,-28.8,96,51,0.49,broken clouds
112,Margate,GB,51.3813,1.3862,42.51,85,87,4.0,overcast clouds
113,Vao,NC,-22.6667,167.4833,80.33,83,100,14.29,overcast clouds
114,Atar,MR,20.5169,-13.0499,66.72,20,100,9.28,overcast clouds
115,Pisco,PE,-13.7,-76.2167,73.02,68,40,18.41,scattered clouds
116,Carnarvon,AU,-24.8667,113.6333,89.67,51,3,5.75,clear sky
117,Shenxian,CN,36.2411,115.6672,41.32,54,100,3.58,overcast clouds
118,Coquimbo,CL,-29.9533,-71.3436,65.93,77,0,4.61,clear sky
119,West Wendover,US,40.7391,-114.0733,50.07,27,65,5.01,broken clouds
120,Saint-Joseph,RE,-21.3667,55.6167,75.58,73,39,6.29,scattered clouds
121,Anadyr,RU,64.75,177.4833,-34.01,73,20,11.18,mist
122,Khatanga,RU,71.9667,102.5,-1.01,83,100,14.16,overcast clouds
123,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,84,75,2.3,broken clouds
124,Chokurdakh,RU,70.6333,147.9167,-4.09,96,100,13.33,overcast clouds
125,Kharp,RU,66.8014,65.8081,-10.75,100,100,4.85,overcast clouds
126,Chuy,UY,-33.6971,-53.4616,72.55,85,50,13.78,scattered clouds
127,Tyler,US,32.3513,-95.3011,64.18,40,0,8.05,clear sky
128,Buta,CD,2.7858,24.73,70.63,50,100,1.21,overcast clouds
129,Cape Town,ZA,-33.9258,18.4232,67.87,80,0,10.36,clear sky
130,Saldanha,ZA,-33.0117,17.9442,64.33,93,18,15.28,few clouds
131,Mazagao,BR,-0.115,-51.2894,78.85,95,99,3.74,overcast clouds
132,Kruisfontein,ZA,-34.0033,24.7314,61.21,85,0,3.18,clear sky
133,Port Elizabeth,ZA,-33.918,25.5701,65.86,83,0,2.24,clear sky
134,Havre-Saint-Pierre,CA,50.2334,-63.5986,21.2,85,100,3.44,overcast clouds
135,Souillac,MU,-20.5167,57.5167,75.58,94,40,3.44,scattered clouds
136,Yumen,CN,40.2833,97.2,24.26,45,100,1.61,overcast clouds
137,Upernavik,GL,72.7868,-56.1549,-11.04,77,100,17.27,overcast clouds
138,Phuket,TH,8.0,98.25,79.02,89,20,2.3,few clouds
139,Bredasdorp,ZA,-34.5322,20.0403,63.72,82,8,3.44,clear sky
140,Altar,MX,30.7,-111.8167,72.05,16,0,11.3,clear sky
141,Avarua,CK,-21.2078,-159.775,82.45,74,54,10.36,broken clouds
142,Colesberg,ZA,-30.72,25.0972,70.72,26,0,1.45,clear sky
143,Ust-Nera,RU,64.5667,143.2,-25.87,97,63,2.8,broken clouds
144,Lahaina,US,20.8783,-156.6825,82.4,76,10,4.0,clear sky
145,Tucupita,VE,9.0622,-62.051,70.34,80,9,4.12,clear sky
146,Shakawe,BW,-18.3667,21.85,66.24,94,100,4.16,overcast clouds
147,Barrow,US,71.2906,-156.7887,-30.98,100,0,5.75,haze
148,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,42,75,11.5,broken clouds
149,Sarkand,KZ,45.41,79.9186,26.73,79,100,4.18,overcast clouds
150,Bharatpur,IN,27.2167,77.4833,48.92,43,0,5.39,clear sky
151,Bluff,NZ,-46.6,168.3333,58.8,63,42,18.86,scattered clouds
152,Nesterov,RU,54.6306,22.5714,30.31,83,51,11.59,broken clouds
153,Xiongzhou,CN,25.1167,114.3,49.23,90,100,4.25,overcast clouds
154,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,21,0,8.05,clear sky
155,Christchurch,NZ,-43.5333,172.6333,65.95,93,100,8.05,moderate rain
156,Labytnangi,RU,66.6572,66.4183,-12.86,99,100,5.48,overcast clouds
157,Fortuna,US,40.5982,-124.1573,65.43,73,0,0.0,clear sky
158,Tuatapere,NZ,-46.1333,167.6833,58.82,64,88,13.53,overcast clouds
159,Meulaboh,ID,4.1363,96.1285,75.69,84,94,3.06,overcast clouds
160,Kostomuksha,RU,64.571,30.5767,16.05,93,100,10.0,overcast clouds
161,Altamira,BR,-3.2033,-52.2064,72.79,97,100,2.17,overcast clouds
162,Muncar,ID,-8.4333,114.3333,78.08,85,100,3.67,overcast clouds
163,Padang,ID,-0.9492,100.3543,78.85,73,100,2.66,light rain
164,Cidreira,BR,-30.1811,-50.2056,74.46,83,0,20.31,clear sky
165,Villanueva De Cordoba,ES,38.3228,-4.6287,35.33,67,10,2.53,clear sky
166,Perry,US,37.2506,-83.1999,61.52,59,59,12.21,broken clouds
167,Adiake,CI,5.2863,-3.304,83.79,89,98,5.03,light rain
168,Mar Del Plata,AR,-38.0023,-57.5575,63.09,72,100,25.99,overcast clouds
169,Formosa Do Rio Preto,BR,-11.0483,-45.1931,72.1,84,19,1.1,few clouds
170,Imbituba,BR,-28.24,-48.6703,76.89,81,5,9.62,clear sky
171,San Patricio,US,28.017,-97.5169,67.15,78,0,12.75,clear sky
172,Saint-Philippe,RE,-21.3585,55.7679,76.59,71,22,5.59,few clouds
173,Taoudenni,ML,22.6783,-3.9836,60.89,25,0,11.56,clear sky
174,Bauchi,NG,10.5,10.0,59.85,23,14,4.7,few clouds
175,Mbini,GQ,1.574,9.6134,78.93,85,5,3.98,clear sky
176,Notse,TG,6.95,1.1667,78.87,77,18,4.79,few clouds
177,Woodward,US,36.4337,-99.3904,47.43,49,40,8.05,scattered clouds
178,Yacuiba,BO,-22.038,-63.6797,69.37,99,100,7.85,moderate rain
179,Constitucion,CL,-35.3333,-72.4167,58.86,67,0,9.22,clear sky
180,Esperance,AU,-33.8667,121.9,73.24,92,100,5.21,overcast clouds
181,Ahipara,NZ,-35.1667,173.1667,80.69,77,95,20.54,overcast clouds
182,Chumikan,RU,54.7183,135.315,8.98,92,100,4.41,light snow
183,The Valley,AI,18.217,-63.0578,76.1,75,57,22.86,broken clouds
184,Askarovo,RU,53.3372,58.5089,2.39,97,33,5.97,scattered clouds
185,Jiangyou,CN,31.7667,104.7167,42.55,84,99,1.36,overcast clouds
186,Half Moon Bay,US,37.4636,-122.4286,76.24,59,75,4.61,broken clouds
187,Poya,NC,-21.35,165.15,84.97,73,60,7.63,broken clouds
188,Galesong,ID,-5.3166,119.3661,78.82,83,100,8.32,light rain
189,Mosetse,BW,-20.75,26.65,69.42,55,8,9.37,clear sky
190,Nuuk,GL,64.1835,-51.7216,34.41,69,100,6.91,light shower snow
191,Butzow,DE,53.85,11.9833,36.05,85,4,6.26,clear sky
192,Bembibre,ES,42.6177,-6.4155,45.9,98,100,1.99,overcast clouds
193,Calabozo,VE,8.9242,-67.4293,84.45,41,13,5.32,few clouds
194,Petrovsk,RU,52.3064,45.3917,30.42,95,61,10.94,broken clouds
195,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,29.93,snow
196,Pacific Grove,US,36.6177,-121.9166,75.6,46,0,1.01,clear sky
197,Luderitz,NA,-26.6481,15.1594,75.49,65,86,9.78,overcast clouds
198,Huarmey,PE,-10.0681,-78.1522,71.65,82,100,8.79,overcast clouds
199,Javanrud,IR,34.7961,46.5172,35.24,94,97,4.43,overcast clouds
200,Bentiu,SS,9.2333,29.8333,72.77,21,12,4.85,few clouds
201,Edd,ER,13.9297,41.6925,76.89,68,0,6.67,clear sky
202,Tura,IN,25.5198,90.2201,52.83,69,0,2.71,clear sky
203,Kitimat,CA,54.0524,-128.6534,37.9,63,39,1.01,scattered clouds
204,Ancud,CL,-41.8697,-73.8203,56.73,72,42,5.59,scattered clouds
205,Pangnirtung,CA,66.1451,-65.7125,2.37,88,100,2.17,overcast clouds
206,Avera,US,33.194,-82.5271,58.71,60,0,7.14,clear sky
207,Alyangula,AU,-13.8483,136.4192,84.51,70,74,7.94,broken clouds
208,Inhambane,MZ,-23.865,35.3833,73.78,79,1,7.85,clear sky
209,Marsabit,KE,2.3284,37.9899,68.81,40,24,10.8,few clouds
210,Monterey,US,36.2505,-121.2516,70.27,40,62,1.14,broken clouds
211,Karakol,KG,42.4907,78.3936,21.81,77,100,3.27,overcast clouds
212,Akcaabat,TR,41.0212,39.5715,42.67,75,0,2.3,clear sky
213,Byron Bay,AU,-28.65,153.6167,76.05,78,58,16.93,light rain
214,Lengshuijiang,CN,27.6881,111.4294,40.78,90,100,2.37,overcast clouds
215,Guider,CM,9.9342,13.9486,72.39,14,20,7.18,few clouds
216,Hami,CN,42.8,93.45,28.36,57,100,4.59,overcast clouds
217,Zhigalovo,RU,54.8097,105.1578,-33.84,100,93,0.87,overcast clouds
218,Stavern,NO,59.0,10.0333,38.3,78,100,23.49,overcast clouds
219,Limbang,MY,4.75,115.0,80.91,88,100,4.18,overcast clouds
220,Rajapur,IN,25.3833,81.15,50.05,59,0,6.96,clear sky
221,Narsaq,GL,60.9167,-46.05,25.02,84,100,6.62,overcast clouds
222,Geraldton,AU,-28.7667,114.6,82.81,51,8,5.75,clear sky
223,Kampong Thum,KH,12.7111,104.8887,78.69,68,41,6.96,scattered clouds
224,Cabo San Lucas,MX,22.8909,-109.9124,70.52,66,0,9.22,clear sky
225,Husavik,IS,66.0449,-17.3389,21.11,86,100,8.68,overcast clouds
226,Port Macquarie,AU,-31.4333,152.9167,75.88,63,97,16.71,overcast clouds
227,Kaka,TM,37.3482,59.6143,44.26,77,100,5.21,overcast clouds
228,Pilar,BR,-9.5972,-35.9567,76.93,82,36,7.63,scattered clouds
229,Suoyarvi,RU,62.0833,32.35,14.99,93,71,8.34,broken clouds
230,Lagoa,PT,39.05,-27.9833,59.45,76,100,14.65,overcast clouds
231,Coihaique,CL,-45.5752,-72.0662,57.15,58,0,8.05,clear sky
232,Rizhao,CN,35.4275,119.4553,40.98,67,2,3.96,clear sky
233,Santa Marta,CO,11.2408,-74.199,84.25,61,20,18.99,few clouds
234,Polazna,RU,58.2946,56.4055,15.19,96,99,4.63,overcast clouds
235,Lakhimpur,IN,27.95,80.7667,48.15,67,0,6.69,clear sky
236,Eyl,SO,7.9803,49.8164,71.92,67,100,13.06,overcast clouds
237,Jiayuguan,CN,39.8167,98.3,22.71,47,100,5.99,overcast clouds
238,Gushikawa,JP,26.3544,127.8686,70.83,77,100,12.66,light rain
239,Machali,CL,-34.1833,-70.6667,69.89,33,66,0.83,broken clouds
240,Saint-Francois,FR,46.4154,3.9054,28.67,91,0,3.44,clear sky
241,Vestmannaeyjar,IS,63.4427,-20.2734,33.01,72,100,9.31,overcast clouds
242,Cauquenes,CL,-35.9671,-72.3225,64.49,32,0,4.88,clear sky
243,Beloha,MG,-25.1667,45.05,73.6,91,41,11.95,scattered clouds
244,Adrar,MR,20.5022,-10.0711,59.72,21,28,11.07,scattered clouds
245,Orlik,RU,52.5178,99.825,-33.81,98,62,1.99,broken clouds
246,Faanui,PF,-16.4833,-151.75,80.62,75,100,14.05,light rain
247,Mitsamiouli,KM,-11.3847,43.2844,79.9,75,100,4.45,light rain
248,Bonfim,BR,3.0833,-59.95,83.26,54,33,9.69,scattered clouds
249,Goderich,CA,43.7501,-81.7165,36.21,93,100,14.97,overcast clouds
250,Parauna,BR,-16.9478,-50.4486,67.48,97,100,5.01,overcast clouds
251,Minna,NG,9.6139,6.5569,75.22,12,9,9.78,clear sky
252,Palmer,US,42.1584,-72.3287,46.24,50,75,8.05,broken clouds
253,Canar,EC,-2.55,-78.9333,50.04,98,100,2.08,light rain
254,San Policarpo,PH,12.1791,125.5072,77.32,93,100,13.35,moderate rain
255,Touros,BR,-5.1989,-35.4608,81.5,80,90,8.34,overcast clouds
256,Bambous Virieux,MU,-20.3428,57.7575,75.45,94,40,3.44,scattered clouds
257,Nanortalik,GL,60.1432,-45.2371,29.8,75,100,10.33,overcast clouds
258,Ippy,CF,6.2679,21.2247,73.99,23,30,5.1,scattered clouds
259,Najran,SA,17.4924,44.1277,57.85,29,0,3.24,clear sky
260,Talakan,RU,50.3167,130.3667,5.95,92,100,3.96,overcast clouds
261,Ascoli Piceno,IT,42.8548,13.5749,49.73,76,100,1.95,overcast clouds
262,Tigzirt,DZ,36.8886,4.1198,51.87,84,100,1.97,overcast clouds
263,Bethel,US,41.3712,-73.414,47.48,62,0,6.91,clear sky
264,Ende,ID,-8.8432,121.6623,80.31,84,100,0.45,moderate rain
265,Ust-Kan,RU,50.9276,84.761,-16.2,95,19,3.98,few clouds
266,Staraya Toropa,RU,56.2801,31.6702,25.65,96,100,7.61,overcast clouds
267,Lidkoping,SE,58.5052,13.1577,39.09,3,7,19.13,clear sky
268,Saint-Pierre,RE,-21.3393,55.4781,76.68,65,100,5.75,overcast clouds
269,Senanga,ZM,-16.1167,23.2667,66.18,97,100,7.2,light rain
270,Nakamura,JP,32.9833,132.9333,49.08,66,100,1.54,overcast clouds
271,Bahia Blanca,AR,-38.7196,-62.2724,60.06,50,0,8.48,clear sky
272,Quatre Cocos,MU,-20.2078,57.7625,75.31,82,81,2.71,broken clouds
273,Nkhotakota,MW,-12.9274,34.2961,68.68,85,100,5.57,overcast clouds
274,Mutsu,JP,41.2894,141.2169,34.12,84,17,2.95,few clouds
275,Longyearbyen,SJ,78.2186,15.6401,21.04,86,75,3.44,light snow
276,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,69,75,8.05,broken clouds
277,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.06,96,100,1.83,heavy intensity rain
278,Mayo,US,38.8876,-76.5119,61.43,57,0,12.66,clear sky
279,Heiloo,NL,52.6,4.7,37.98,75,99,3.0,overcast clouds
280,Hohhot,CN,40.8106,111.6522,21.49,58,0,13.42,clear sky
281,Port Blair,IN,11.6667,92.75,75.24,88,40,1.14,mist
282,Dingle,PH,10.9995,122.6711,79.07,85,100,12.08,overcast clouds
283,Saint Simons,US,31.1352,-81.3901,54.07,73,0,5.75,clear sky
284,Sharan,RU,54.8167,54.0,23.94,94,100,4.52,overcast clouds
285,Villazon,BO,-22.0866,-65.5942,52.72,68,94,16.02,overcast clouds
286,Kungsbacka,SE,57.4872,12.0761,40.24,91,10,25.99,clear sky
287,Lompoc,US,34.6391,-120.4579,79.57,38,0,8.05,clear sky
288,Vila Franca Do Campo,PT,37.7167,-25.4333,61.2,76,72,2.24,broken clouds
289,Nhlangano,SZ,-27.1167,31.2,59.38,63,2,2.64,clear sky
290,Tiksi,RU,71.6872,128.8694,-12.71,93,74,17.4,broken clouds
291,Birobidzhan,RU,48.8,132.95,15.75,93,100,3.09,light snow
292,Severo-Kurilsk,RU,50.6789,156.125,27.27,78,95,9.57,light snow
293,Cururupu,BR,-1.8283,-44.8683,74.71,96,100,2.44,overcast clouds
294,Langsa,ID,4.4683,97.9683,74.68,91,100,2.1,overcast clouds
295,Gwanda,ZW,-20.9333,29.0,66.36,53,2,4.45,clear sky
296,Lorengau,PG,-2.0226,147.2712,83.88,73,100,3.91,overcast clouds
297,Grand Gaube,MU,-20.0064,57.6608,75.6,82,98,1.99,overcast clouds
298,Chapais,CA,49.7834,-74.8492,13.78,95,100,7.07,light snow
299,Baraya,CO,3.1533,-75.0531,80.4,77,84,5.77,broken clouds
300,Moberly,US,39.4184,-92.4382,41.04,66,0,18.41,clear sky
301,Ketchikan,US,55.3422,-131.6461,39.67,81,75,10.36,broken clouds
302,Saltillo,MX,25.4167,-101.0,58.15,28,6,5.77,clear sky
303,Antofagasta,CL,-23.65,-70.4,69.08,79,9,5.68,clear sky
304,Jalingo,NG,8.8833,11.3667,72.77,13,19,4.5,few clouds
305,Saint Anthony,US,45.0205,-93.218,11.14,62,40,18.41,scattered clouds
306,Toppenish,US,46.3774,-120.3087,52.9,30,23,4.68,few clouds
307,Chihuahua,MX,28.5,-106.0,61.63,12,0,5.46,clear sky
308,Porto Nacional,BR,-10.7081,-48.4172,73.4,90,49,2.28,scattered clouds
309,Te Anau,NZ,-45.4167,167.7167,65.61,43,98,5.14,overcast clouds
310,Buin,CL,-33.7333,-70.75,78.06,38,90,2.59,overcast clouds
311,Egvekinot,RU,66.3167,-179.1667,-17.57,87,10,7.16,clear sky
312,Dukat,RU,62.55,155.55,-15.59,77,80,3.33,broken clouds
313,Rodrigues Alves,BR,-7.738,-72.6509,74.23,91,100,3.24,overcast clouds
314,Ngunguru,NZ,-35.6167,174.5,77.16,89,81,18.16,broken clouds
315,Williams Lake,CA,52.1415,-122.1445,40.57,59,75,5.75,broken clouds
316,Brae,GB,60.3964,-1.353,42.71,81,100,22.66,overcast clouds
317,Wukari,NG,7.85,9.7833,72.73,17,10,5.28,clear sky
318,Roald,NO,62.5833,6.1333,39.34,87,40,18.41,scattered clouds
319,Bonthe,SL,7.5264,-12.505,76.5,94,8,3.71,clear sky
320,Gambela,ET,8.25,34.5833,83.35,32,63,0.34,broken clouds
321,Ust-Maya,RU,60.4167,134.5333,-24.7,95,84,0.78,broken clouds
322,Sirsa,IN,29.5333,75.0167,49.03,33,0,3.53,clear sky
323,Scottsbluff,US,41.8666,-103.6672,30.63,56,75,20.71,broken clouds
324,Shu,KZ,43.5983,73.7614,36.79,75,96,6.35,overcast clouds
325,Churachandpur,IN,24.3333,93.6667,47.48,86,0,1.23,clear sky
326,Arman,RU,59.7,150.1667,3.18,74,92,5.14,overcast clouds
327,Grindavik,IS,63.8424,-22.4338,30.15,80,0,11.5,clear sky
328,Manavalakurichi,IN,8.1333,77.3,80.69,78,73,5.53,very heavy rain
329,Portland,US,45.5234,-122.6762,64.35,27,20,19.57,few clouds
330,Tamiahua,MX,21.2667,-97.45,68.23,78,98,5.48,overcast clouds
331,Ebolowa,CM,2.9,11.15,68.34,99,47,2.13,scattered clouds
332,Erzin,TR,36.9559,36.2,39.92,63,0,2.06,clear sky
333,Mahon,ES,39.8885,4.2658,46.96,93,0,6.91,clear sky
334,Iqaluit,CA,63.7506,-68.5145,-4.27,70,20,3.44,few clouds
335,Kochi,IN,9.9399,76.2602,75.18,85,30,5.03,scattered clouds
336,Isangel,VU,-19.55,169.2667,87.91,74,75,10.36,broken clouds
337,Tikhvin,RU,59.6451,33.5294,22.6,92,100,8.08,overcast clouds
338,Bahar,IR,34.9072,48.4414,32.16,100,100,0.0,light snow
339,Piranhas,BR,-16.4269,-51.8222,70.32,95,30,0.56,scattered clouds
340,Ivanovka,KG,42.8878,75.085,32.43,66,100,4.38,overcast clouds
341,Katsuura,JP,35.1333,140.3,48.18,57,21,11.07,few clouds
342,Poum,NC,-20.2333,164.0167,81.19,78,98,7.85,overcast clouds
343,Sabha,LY,27.0377,14.4283,48.87,34,0,8.68,clear sky
344,Ukiah,US,39.1502,-123.2078,76.51,44,0,4.61,clear sky
345,Verkhoyansk,RU,67.5447,133.385,-23.73,96,89,1.63,overcast clouds
346,Muros,ES,42.7762,-9.0603,52.23,95,3,4.38,clear sky
347,Zagan,PL,51.6176,15.3149,36.59,88,6,5.82,clear sky
348,Paray-Le-Monial,FR,46.4546,4.1158,34.48,87,0,3.44,clear sky
349,Burgeo,CA,47.6167,-57.6152,31.35,83,7,15.5,clear sky
350,Chernyshevskiy,RU,63.0128,112.4714,-15.32,100,95,1.16,overcast clouds
